feature,importance
traffic_index,0.8539426036911099
day_of_week,0.04845138149453025
historical_avg_wait,0.04293016997937974
hour,0.011835418757290739
temperature,0.009936417185042656
rolling_std_3h,0.00793651779853916
nearby_pois,0.006617686854192609
rolling_mean_3h,0.005556051028212363
rolling_mean_1h,0.004650931707428151
station_capacity,0.003699452113879438
connector_type_enc,0.001908206889525628
month,0.0009193146002488165
precipitation,0.0007847455921529029
is_peak_hour,0.0005481064647573133
is_weekend,0.0002829958437102163
